Id,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2019-31,1-Dec-19,Louisiana,New Orleans,2000 block of N Dorgenois St,2,2,N/A
2019-32,1-Dec-19,Illinois,Aurora,700 block of S 5th St,1,4,N/A
2019-33,1-Dec-19,Michigan,Kalamazoo,6300 block of Proctor St,1,3,N/A
2019-34,1-Dec-19,Louisiana,New Orleans,700 block of Canal St,0,12,N/A
2019-35,30-Nov-19,Arkansas,Hensley,6500 block of E Sardis Rd,0,5,N/A
2019-36,29-Nov-19,Texas,Amarillo,2650 Dumas Dr,0,7,N/A
2019-37,27-Nov-19,New York,Bronx,E 153rd St and Courtlandt Ave,0,5,N/A
2019-38,25-Nov-19,Florida,Brownsville,NW 29th Ave and 44th St,2,2,N/A
2019-39,24-Nov-19,Alabama,Birmingham,7 15th St W,1,4,N/A
2019-40,24-Nov-19,California,Los Angeles,100 block of E 11th St,0,6,N/A
2019-41,24-Nov-19,Louisiana,Cottonport,3846 LA-29,2,2,N/A
2019-42,23-Nov-19,California,Los Angeles,833 S Spring St,0,4,N/A
2019-43,23-Nov-19,Louisiana,Tallulah,Depot St,1,6,N/A
2019-44,21-Nov-19,California,Long Beach,1100 block of 10th St,0,5,N/A
2019-45,21-Nov-19,Washington,Everett,120 West Casino Rd,0,4,N/A
2019-46,20-Nov-19,California,Richmond,20th St and Roosevelt Ave,0,4,N/A
2019-47,18-Nov-19,New Jersey,Newark,139 S 8th St,1,4,N/A
2019-48,17-Nov-19,California,Fresno,5361 E Lamona Ave,4,6,N/A
2019-49,17-Nov-19,Ohio,Cleveland,7100 block of Lawn Ave,0,4,N/A
2019-50,16-Nov-19,California,San Diego,2152 Flintridge Dr,6,0,N/A
2019-51,14-Nov-19,California,Santa Clarita,21900 Centurion Way,3,3,N/A
2019-52,11-Nov-19,Florida,Belle Glade,SW 7th St,0,4,N/A
2019-53,10-Nov-19,Missouri,Kansas City,4704 Independence Ave,0,4,N/A
2019-54,10-Nov-19,Tennessee,Memphis,2080 E. Brooks Rd,1,4,N/A
2019-55,10-Nov-19,Arkansas,Little Rock,3000 block of W 12th St,0,4,N/A
2019-56,9-Nov-19,Michigan,Detroit,3800 block of E McNichols Rd,0,4,N/A
2019-57,9-Nov-19,Georgia,Vidalia,Wiggins St,0,4,N/A
2019-58,8-Nov-19,North Carolina,Raleigh,503 Bragg St,1,3,N/A
2019-59,7-Nov-19,Georgia,Conyers,1800 block of Green St,2,3,N/A
2019-60,4-Nov-19,Texas,Houston,5000 block of Northridge Dr,1,4,N/A
2019-61,3-Nov-19,Ohio,Toledo,600 block of Magnolia St,0,4,N/A
2019-62,3-Nov-19,Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,N/A
2019-63,2-Nov-19,Louisiana,Baton Rouge,137 Taylor St,0,4,N/A
2019-64,2-Nov-19,Michigan,Detroit,7000 block of E. Kirby,1,4,N/A
2019-65,1-Nov-19,Arizona,Tolleson,2434 S 86th Ln,0,5,N/A
2019-66,1-Nov-19,Texas,San Angelo,1616 S Chadbourne St,0,4,N/A
2019-67,31-Oct-19,California,Orinda,114 Lucille Way,5,3,N/A
2019-68,30-Oct-19,Pennsylvania,Philadelphia,5026 Walton Ave,4,0,N/A
2019-69,29-Oct-19,California,Long Beach,2709 E 7th St,3,9,N/A
2019-70,29-Oct-19,Maryland,Baltimore,4700 block of Liberty Heights Ave,1,3,N/A
2019-71,28-Oct-19,Maryland,Baltimore,4160 Pimlico Rd,1,3,N/A
2019-72,27-Oct-19,Michigan,Detroit,East Outer Dr and Helen St,0,4,N/A
2019-73,27-Oct-19,Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,N/A
2019-74,26-Oct-19,Texas,Greenville,2275 US-380,2,6,N/A
2019-75,24-Oct-19,Oklahoma,Oklahoma City,1900 block of NW 12th St,2,2,N/A
2019-76,22-Oct-19,Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,N/A
2019-77,21-Oct-19,South Carolina,Sumter,29 Wesmark Blvd,0,4,N/A
2019-78,20-Oct-19,Texas,Port Arthur,1100 block of Vicksburg Ave,1,3,N/A
2019-79,19-Oct-19,Pennsylvania,Duquesne,600 block of Priscilla Ave,0,4,N/A
2019-80,19-Oct-19,Texas,El Paso,3812 Truman Ave,1,4,N/A
2019-81,15-Oct-19,Ohio,Columbus,1600 block of Manchester Ave,0,4,N/A
2019-82,13-Oct-19,Pennsylvania,Philadelphia,W Clearfield St and N 8th St,0,6,N/A
2019-83,13-Oct-19,Ohio,Akron,Main St,0,4,N/A
2019-84,12-Oct-19,New York,Brooklyn,75 Utica Ave,4,3,N/A
2019-85,12-Oct-19,Illinois,Chicago,6733 W Irving Park Rd,5,0,N/A
2019-86,12-Oct-19,Pennsylvania,Philadelphia,700 block of W Russell St,1,3,N/A
2019-87,12-Oct-19,Maryland,Baltimore,800 block of W Lexington St,1,3,N/A
2019-88,12-Oct-19,Michigan,Eastpointe,15163 E 10 Mile Rd,1,5,N/A
2019-89,10-Oct-19,Florida,Tampa,5410 N Falkenburg Rd,2,2,N/A
2019-90,10-Oct-19,Pennsylvania,Philadelphia,900 block of S 5th St,0,5,N/A
2019-91,9-Oct-19,Massachusetts,Lowell,149 Ennell Street,0,5,N/A
2019-92,9-Oct-19,Maryland,Baltimore,1600 block of W North Ave,1,3,N/A
2019-93,7-Oct-19,Massachusetts,Abington,135 Centre Ave,5,0,N/A
2019-94,6-Oct-19,Colorado,Denver,7100 block of Ruth Way,0,4,N/A
2019-95,6-Oct-19,Kansas,Kansas City,1013 Central Ave,4,5,N/A
2019-96,6-Oct-19,Indiana,Evansville,1127 Chestnut St,0,5,N/A
2019-97,5-Oct-19,Missouri,Saint Louis,10035 Crown Point Dr,0,5,N/A
2019-98,3-Oct-19,North Carolina,Roxboro,700 South Foushee St,1,3,N/A
2019-99,3-Oct-19,Missouri,Marshall,S Olson Ave,1,3,N/A
2019-100,1-Oct-19,Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4,N/A
2019-101,29-Sep-19,Illinois,Round Lake (Round Lake Park),500 block of Fairlawn Ave,1,3,N/A
2019-102,29-Sep-19,Wisconsin,Milwaukee,1500 block of N 29th St,0,4,N/A
2019-103,29-Sep-19,Florida,Jacksonville,2200 block of Clemente Dr,0,4,N/A
2019-104,29-Sep-19,Kansas,Claflin,1500 block of NE 100th Rd,0,4,N/A
2019-105,29-Sep-19,Texas,Beaumont,4100 block of Highland Ave,4,0,N/A
2019-106,24-Sep-19,Illinois,Chicago,2000 block of South Hoyne Ave,1,3,N/A
2019-107,23-Sep-19,Indiana,Gary,1600 block of Connecticut St,2,2,N/A
2019-108,22-Sep-19,Missouri,Kansas City,2111 Television Plaza,0,5,N/A
2019-109,21-Sep-19,Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,N/A
2019-110,21-Sep-19,South Carolina,Lancaster,1399 Old Charlotte Rd,2,8,N/A
2019-111,21-Sep-19,Indiana,Indianapolis,101 W Maryland St,0,6,N/A
2019-112,21-Sep-19,Ohio,Cleveland,3616 East 144th St,4,0,N/A
2019-113,20-Sep-19,Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,N/A
2019-114,19-Sep-19,District of Columbia,Washington,1300 block of Columbia Rd NW,1,5,N/A
2019-115,18-Sep-19,Illinois,Chicago,4200 block of W Madison St,3,1,N/A
2019-116,18-Sep-19,California,Wilmington,800 block of Bayview Ave,2,2,N/A
2019-117,16-Sep-19,Wyoming,Cheyenne,3436 E. 11th St,2,2,N/A
2019-118,14-Sep-19,Missouri,Saint Louis,5200 block of Tennessee Ave,1,3,N/A
2019-119,14-Sep-19,California,Oakland,38th Ave and MacArthur Blvd,1,4,N/A
2019-120,14-Sep-19,Georgia,Lagrange,1400 block of Elm St,0,4,N/A
2019-121,12-Sep-19,New Mexico,Albuquerque,1919 Ladera Dr NW,1,4,N/A
2019-122,12-Sep-19,New Mexico,Albuquerque,1028 Lura Pl SW,4,2,N/A
2019-123,10-Sep-19,Illinois,Chicago,2200 block of W Maypole Ave,0,4,N/A
2019-124,8-Sep-19,South Carolina,Sumter,1083 Broad St,2,2,N/A
2019-125,8-Sep-19,Louisiana,Alexandria,2900 block of Cypress St,1,3,N/A
2019-126,7-Sep-19,North Carolina,Whiteville,Brittany Ln,3,1,N/A
2019-127,4-Sep-19,Louisiana,Marrero,3044 Sorbonne Dr,2,2,N/A
2019-128,4-Sep-19,Florida,Jacksonville,400 W 62nd St,0,4,N/A
2019-129,2-Sep-19,Alabama,Elkmont,25019 Ridge Road,5,0,N/A
2019-130,2-Sep-19,North Carolina,Greensboro,5528 W Market St,2,2,N/A
2019-131,2-Sep-19,Illinois,Chicago,6200 block of S King Dr,0,4,N/A
2019-132,1-Sep-19,Connecticut,Hartford,80 Edgewood St,1,3,N/A
2019-133,1-Sep-19,North Carolina,Rocky Mount,521 Country Club Road,0,4,N/A
2019-134,1-Sep-19,Alabama,Valley,502 Boulevard,0,7,N/A
2019-135,1-Sep-19,Ohio,Toledo,3257 Stickney Ave,0,4,N/A
2019-136,31-Aug-19,Texas,Odessa,8250 TX 191,8,23,N/A
2019-137,31-Aug-19,North Carolina,Charlotte,10035 Dabney Dr,1,3,N/A
2019-138,31-Aug-19,South Carolina,Moncks Corner,336 Maplewood Rd,0,4,N/A
2019-139,31-Aug-19,Pennsylvania,Philadelphia,4600 block of 4th St,2,2,N/A
2019-140,31-Aug-19,Maryland,Baltimore,900 block of N Monroe St,0,4,N/A
2019-141,31-Aug-19,Maryland,Frederick,600 block of N Market St,0,4,N/A
2019-142,31-Aug-19,Illinois,Chicago,7100 block of S Paulina St,2,3,N/A
2019-143,30-Aug-19,Alabama,Mobile,1621 Virginia St,0,6,N/A
2019-144,30-Aug-19,Maryland,Baltimore,1600 block of E 29th St,1,3,N/A
2019-145,29-Aug-19,Maryland,Baltimore,2500 block of E Monument St,1,3,N/A
2019-146,25-Aug-19,New Mexico,Hobbs,1700 block of E Bond St,3,4,N/A
2019-147,25-Aug-19,Illinois,Chicago,8200 block of S Maryland Ave,1,3,N/A
2019-148,24-Aug-19,Maryland,Temple Hills (Camp Springs),6200 block of Maxwell Dr,0,7,N/A
2019-149,24-Aug-19,Massachusetts,Lynn,Warren Street,1,3,N/A
2019-150,23-Aug-19,Texas,Houston,4900 block of Southwind St,3,2,N/A
2019-151,23-Aug-19,Georgia,Dublin,200 Riverview Park Dr,0,4,N/A
2019-152,23-Aug-19,Missouri,Saint Louis,1122 Union Blvd,1,3,N/A
2019-153,22-Aug-19,South Carolina,Columbia,851 Bush River Rd,2,2,N/A
2019-154,22-Aug-19,California,Los Angeles,300 block of West Fifth St,0,4,N/A
2019-155,20-Aug-19,Georgia,Atlanta,111 James P Brawley Dr SW,0,4,N/A
2019-156,18-Aug-19,Missouri,Kansas City,770 W 47th St,0,4,N/A
2019-157,17-Aug-19,Texas,Houston,12500 block of Mylla St,0,6,N/A
2019-158,15-Aug-19,Alabama,Montgomery,847 N University Dr,2,3,N/A
2019-159,15-Aug-19,Pennsylvania,Philadelphia,1400 block of W Conlyn St,0,5,N/A
2019-160,14-Aug-19,Pennsylvania,Philadelphia,3716 N 15th St,0,6,N/A
2019-161,13-Aug-19,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,N/A
2019-162,12-Aug-19,Mississippi,Greenwood,200 Young St,0,4,N/A
2019-163,11-Aug-19,Illinois,Chicago,3500 block of W Lake St,0,6,N/A
2019-164,10-Aug-19,Virginia,Richmond,6346 Midlothian Turnpike,0,4,N/A
2019-165,10-Aug-19,California,San Francisco,1100 Fillmore St,0,4,N/A
2019-166,9-Aug-19,Illinois,Chicago,7300 block of S Artesian Ave,0,4,N/A
2019-167,7-Aug-19,Missouri,Saint Louis,4900 block of Plover Ave,3,1,N/A
2019-168,5-Aug-19,New York,Brooklyn,216 Buffalo Ave,0,4,N/A
2019-169,4-Aug-19,Louisiana,Lake Charles,110 Pryce St,0,4,N/A
2019-170,4-Aug-19,Illinois,Chicago,1800 S Kildare Ave,1,7,N/A
2019-171,4-Aug-19,Tennessee,Memphis,443 E Shelby Dr,1,3,N/A
2019-172,4-Aug-19,Illinois,Chicago,2900 block of W Roosevelt Rd,0,7,N/A
2019-173,4-Aug-19,Ohio,Dayton,419 E 5th St,10,17,N/A
2019-174,3-Aug-19,Texas,El Paso,7101 Gateway Blvd,23,23,N/A
2019-175,2-Aug-19,Virginia,Suffolk,200 block of N Broad St,2,3,N/A
2019-176,30-Jul-19,Ohio,Columbus,1280 E Long St,0,5,N/A
2019-177,28-Jul-19,Pennsylvania,Philadelphia,2600 block of Carroll St,1,5,N/A
2019-178,28-Jul-19,California,Gilroy,7050 Miller Ave,4,17,N/A
2019-179,28-Jul-19,Wisconsin,Chippewa Falls,16964 54th Ave,5,2,N/A
2019-180,28-Jul-19,District of Columbia,Washington,637 T St NW,0,4,N/A
2019-181,28-Jul-19,Illinois,Chicago,3938 W Roosevelt Rd,0,4,N/A
2019-182,27-Jul-19,Kansas,Wichita,505 N Rock Rd,1,3,N/A
2019-183,27-Jul-19,New York,Brooklyn,1555 Linden Blvd,1,11,N/A
2019-184,26-Jul-19,Washington,Kennewick,E 10th Ave,1,3,N/A
2019-185,25-Jul-19,California,Canoga Park,21901 Roscoe Boulevard,4,2,N/A
2019-186,21-Jul-19,Illinois,Chicago,3900 block of Roosevelt Rd,0,4,N/A
2019-187,21-Jul-19,District of Columbia,Washington,2300 block of 15th St NE,0,4,N/A
2019-188,20-Jul-19,Pennsylvania,Clairton,501 Waddell Ave,0,4,N/A
2019-189,20-Jul-19,Maryland,Baltimore,2800 block of Boarman Ave,1,3,N/A
2019-190,20-Jul-19,Illinois,Chicago,2401 N Lake Shore Dr,0,7,N/A
2019-191,18-Jul-19,Illinois,Chicago,3427 W Fulton Blvd,1,3,N/A
2019-192,17-Jul-19,Texas,Lubbock,N Elder Ave and E Colgate St,1,3,N/A
2019-193,16-Jul-19,Texas,San Antonio,6989 San Pedro Ave,0,4,N/A
2019-194,15-Jul-19,Georgia,Atlanta,1572 Hardee St NE,0,4,N/A
2019-195,14-Jul-19,Illinois,Chicago,4600 block of W Erie St,0,4,N/A
2019-196,13-Jul-19,Illinois,Chicago,7900 block of S Loomis Blvd,1,4,N/A
2019-197,13-Jul-19,Pennsylvania,Philadelphia,5433 Lansdowne Ave,0,7,N/A
2019-198,11-Jul-19,Texas,Houston,5901 Royal Palms St,0,4,N/A
2019-199,8-Jul-19,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,N/A
2019-200,7-Jul-19,Michigan,Flint,Clio Rd and Myrtle St,0,6,N/A
2019-201,7-Jul-19,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,N/A
2019-202,7-Jul-19,Illinois,Chicago,5600 block of S Paulina St,0,4,N/A
2019-203,7-Jul-19,Illinois,Chicago,600 block of W 61st Pl,0,4,N/A
2019-204,7-Jul-19,New Mexico,Albuquerque,211 Gold Ave SW,0,4,N/A
2019-205,6-Jul-19,California,San Jose,3036 Quinto Way,0,4,N/A
2019-206,6-Jul-19,Missouri,Saint Louis,1921 Chambers Rd,5,0,N/A
2019-207,5-Jul-19,Massachusetts,Boston,Maple St,0,6,N/A
2019-208,5-Jul-19,Illinois,Chicago,1600 block of E 67th St,0,5,N/A
2019-209,5-Jul-19,Nevada,Reno,600 block of Spokane St,1,3,N/A
2019-210,5-Jul-19,New York,Brooklyn,Elton St and Belmont Ave,0,4,N/A
2019-211,4-Jul-19,Illinois,Rockford,1100 block of Preston St,0,4,N/A
2019-212,4-Jul-19,Illinois,Chicago,800 block of N Homan Ave,1,3,N/A
2019-213,4-Jul-19,California,Los Angeles,1900 block of Adair St,0,4,N/A
2019-214,4-Jul-19,California,Fresno,4700 block of E Hamilton Ave,1,3,N/A
2019-215,3-Jul-19,Texas,Katy,5507 Everhart Manor Ln,2,3,N/A
2019-216,2-Jul-19,Missouri,Saint Louis (Wellston),6250 Page Ave,0,4,N/A
2019-217,1-Jul-19,Maryland,Baltimore,1200 block of N Luzerne Ave,0,4,N/A
2019-218,30-Jun-19,California,Oakland,3000 block of Brookdale Ave,0,4,N/A
2019-219,30-Jun-19,California,Yucaipa,12700 block of California St,0,5,N/A
2019-220,30-Jun-19,Texas,Dallas,3535 Munger Ave,2,2,N/A
2019-221,30-Jun-19,New York,Bay Shore,Farragut Ave,0,6,N/A
2019-222,29-Jun-19,Connecticut,Hartford,Judson St and Martin St,0,4,N/A
2019-223,29-Jun-19,Louisiana,Gray,2700 block of W Park Ave,0,4,N/A
2019-224,29-Jun-19,Illinois,Chicago,2400 block of W Jackson Blvd,0,5,N/A
2019-225,29-Jun-19,Louisiana,Baton Rouge,7132 Florida Blvd,0,7,N/A
2019-226,28-Jun-19,New Jersey,Paterson,50 block of Jefferson St,0,4,N/A
2019-227,28-Jun-19,Connecticut,Hamden,937 Choate Ave,0,5,N/A
2019-228,28-Jun-19,Georgia,Atlanta,Ira St and Bass St SW,0,7,N/A
2019-229,28-Jun-19,New Jersey,Jersey City,167 Armstrong Ave,0,4,N/A
2019-230,28-Jun-19,Minnesota,Saint Paul,909 Desoto St,0,5,N/A
2019-231,27-Jun-19,Georgia,Atlanta,600 block of Parkway Dr,0,7,N/A
2019-232,26-Jun-19,Ohio,Akron,900 block of Rowe St,1,3,N/A
2019-233,26-Jun-19,Wisconsin,Milwaukee,2800 block of N 34th St,0,4,N/A
2019-234,23-Jun-19,California,La Jolla,7500 block of Draper Ave,1,3,N/A
2019-235,23-Jun-19,California,San Jose,568 Habbitts Court,5,0,N/A
2019-236,23-Jun-19,Indiana,South Bend,1150 E Mishawaka Ave,1,10,N/A
2019-237,23-Jun-19,Ohio,Columbus,1767 Genessee Ave,0,5,N/A
2019-238,23-Jun-19,South Carolina,Abbeville,1108 Cambridge St,3,1,N/A
2019-239,22-Jun-19,Virginia,Hampton,1st St and E Pembroke Ave,0,4,N/A
2019-240,22-Jun-19,Pennsylvania,Philadelphia,2400 block of Moore St,0,4,N/A
2019-241,22-Jun-19,Maryland,Baltimore,800 block of N Port St,1,4,N/A
2019-242,21-Jun-19,Michigan,Saginaw,1506 N Charles St,1,3,N/A
2019-243,21-Jun-19,Illinois,Chicago,6300 block of S King Dr,0,4,N/A
2019-244,21-Jun-19,California,Santa Maria,519  West Taylor St,5,0,N/A
2019-245,21-Jun-19,California,Richmond,700 block of 14th St,0,5,N/A
2019-246,20-Jun-19,Pennsylvania,Allentown,343 Hamilton St,0,10,N/A
2019-247,18-Jun-19,New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,N/A
2019-248,17-Jun-19,Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,N/A
2019-249,17-Jun-19,Tennessee,Memphis,2872 Coach Dr,0,5,N/A
2019-250,16-Jun-19,Pennsylvania,Philadelphia,6900 block of Reedbird Pl,1,5,N/A
2019-251,16-Jun-19,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,N/A
2019-252,16-Jun-19,Iowa,Des Moines,1200 block of Sampson St,0,6,N/A
2019-253,15-Jun-19,Louisiana,Shreveport,2500 block of Hollywood Ave,0,4,N/A
2019-254,12-Jun-19,North Carolina,Charlotte,305 N Graham St,1,3,N/A
2019-255,11-Jun-19,Colorado,Aurora,12500 block of E Kansas Pl,0,4,N/A
2019-256,11-Jun-19,Georgia,Savannah,6900 Block of Damascus Rd,2,2,N/A
2019-257,9-Jun-19,Ohio,Cleveland,17218 Tarkington Ave,1,3,N/A
2019-258,9-Jun-19,New York,Buffalo,2081 Niagara St,0,4,N/A
2019-259,9-Jun-19,Tennessee,Henning,265 N Main St,1,3,N/A
2019-260,8-Jun-19,Washington,White Swan,5151 Medicine Valley Rd,5,2,N/A
2019-261,8-Jun-19,Illinois,Chicago,3500 block of W North Ave,0,4,N/A
2019-262,7-Jun-19,Texas,Austin,8220 TX-71,0,5,N/A
2019-263,6-Jun-19,Illinois,Chicago,2500 block of N Lake Shore Dr,1,3,N/A
2019-264,5-Jun-19,California,Santa Rosa,828 W 9th Street,0,4,N/A
2019-265,1-Jun-19,South Carolina,Allendale,473 Main St S,0,5,N/A
2019-266,1-Jun-19,Illinois,Chicago,300 block of East Chicago Ave,0,4,N/A
2019-267,1-Jun-19,Virginia,Portsmouth,1100 block of Mt Vernon Ave,1,3,N/A
2019-268,1-Jun-19,Illinois,Chicago,5600 block of West Madison St,0,4,N/A
2019-269,1-Jun-19,Georgia,Atlanta,12 Broad Street,0,5,N/A
2019-270,1-Jun-19,Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,N/A
2019-271,31-May-19,Virginia,Virginia Beach,2405 Courthouse Drive,13,4,N/A
2019-272,31-May-19,California,West Covina,306 N Hollow Ave,1,3,N/A
2019-273,30-May-19,Illinois,Robbins,14000 block of Grace Ave,0,5,N/A
2019-274,29-May-19,Texas,Cleveland,26311 TX-321,3,2,N/A
2019-275,29-May-19,Louisiana,Reserve,300 block of Homewood Place,1,3,N/A
2019-276,27-May-19,Missouri,Saint Louis,5900 block of Goodfellow Blvd,2,2,N/A
2019-277,27-May-19,District of Columbia,Washington,1200 block of Sumner Rd SE,0,5,N/A
2019-278,27-May-19,New Jersey,Trenton,100 block of Walnut St,1,5,N/A
2019-279,26-May-19,District of Columbia,Washington,3509 Wheeler Rd SE,1,3,N/A
2019-280,26-May-19,Virginia,La Crosse,800 block of Alvis Road,0,5,N/A
2019-281,26-May-19,California,Stockton,600 block of E Oak St,1,3,N/A
2019-282,25-May-19,New Jersey,Trenton,225 Brunswick Ave,0,9,N/A
2019-283,25-May-19,Michigan,Detroit,3400 block of Devonshire,3,2,N/A
2019-284,25-May-19,Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,N/A
2019-285,25-May-19,Maryland,Baltimore,500 block of N Belnord Ave,0,4,N/A
2019-286,25-May-19,Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,N/A
2019-287,20-May-19,Oklahoma,Tulsa,8118 E 16th St,2,2,N/A
2019-288,20-May-19,Louisiana,Alexandria,1900 block of Bacon Street,1,4,N/A
2019-289,20-May-19,Ohio,Columbus,2424 Sullivant Ave,0,4,N/A
2019-290,19-May-19,Oregon,Portland,226 SE Madison St,0,5,N/A
2019-291,18-May-19,Mississippi,Cascilla,700 Leverette Ln,1,4,N/A
2019-292,18-May-19,Alabama,Atmore,100 Martin Luther King Avenue,1,8,N/A
2019-293,18-May-19,Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2,N/A
2019-294,18-May-19,Indiana,Muncie,2410 W. Euclid Ave,1,6,N/A
2019-295,18-May-19,California,Long Beach,1616 West Pacific Coast Highway,1,4,N/A
2019-296,18-May-19,Nebraska,Omaha,2825 Y St,0,4,N/A
2019-297,18-May-19,North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4,N/A
2019-298,17-May-19,California,Sacramento,7326 Stockton Blvd,1,3,N/A
2019-299,16-May-19,Ohio,Cleveland,9500 Cardwell Ave,0,4,N/A
2019-300,15-May-19,Louisiana,Saint Rose,100 block of St. Rose Ave,0,4,N/A
2019-301,14-May-19,California,Los Angeles,1248 W 47th St,0,4,N/A
2019-302,13-May-19,Louisiana,New Orleans,2100 block of 4th St,0,4,N/A
2019-303,13-May-19,Missouri,Saint Louis,4047 Shreve Ave,4,1,N/A
2019-304,11-May-19,Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,N/A
2019-305,10-May-19,Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,N/A
2019-306,10-May-19,Missouri,Saint Louis,4000 block of Ashland Ave,0,6,N/A
2019-307,8-May-19,Indiana,Indianapolis,Roache St and Rader St,0,4,N/A
2019-308,7-May-19,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,N/A
2019-309,5-May-19,New Jersey,North Bergen,2033 45th Street,1,4,N/A
2019-310,5-May-19,California,Oceano,1001 Cabrillo Hwy,0,6,N/A
2019-311,4-May-19,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,N/A
2019-312,4-May-19,Indiana,Indianapolis,101 W Maryland St,0,4,N/A
2019-313,4-May-19,California,Stockton,5105 Holiday Dr,1,4,N/A
2019-314,4-May-19,Delaware,Wilmington,W 27th St and Tatnall St,0,4,N/A
2019-315,3-May-19,Texas,Dallas,5400 Cedar Springs Rd,1,3,N/A
2019-316,3-May-19,Maryland,Baltimore,1900 block of Ramsay St,0,5,N/A
2019-317,3-May-19,Maryland,Baltimore,2500 block of E Biddle St,0,4,N/A
2019-318,1-May-19,Massachusetts,Boston,32 Windermere Rd,1,3,N/A
2019-319,30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,N/A
2019-320,28-Apr-19,Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,N/A
2019-321,28-Apr-19,Alabama,Birmingham,514 19th St Ensley,0,4,N/A
2019-322,28-Apr-19,Maryland,Baltimore,2544 Edmondson Ave,1,7,N/A
2019-323,28-Apr-19,Ohio,West Chester,4637 Wyndtree Dr,4,0,N/A
